"podcast";"number";"date";"year";"month";"weekday";"duration";"title";"host";"guest";"category";"topic";"summary"
"Lazy Doctor Who";"31";2016-02-08;"2016";"February";"Monday";7.08333333333333;"The Romans 2-3";"Erika Ensign, Steven Schapansky";NA;"Not provided";"M (2-3)";"Steven and Erika continue their Superbowl Sunday 1965-Doctor Who viewing party. And Erika discovers “The Romans” isn’t as easy or pleasant to watch as she’d hoped"
"Lazy Doctor Who";"30";2016-02-08;"2016";"February";"Monday";10.5333333333333;"The Romans 1";"Erika Ensign, Steven Schapansky";NA;"Not provided";"M (1)";"Erika and Steven spend Superbowl Sunday watching Doctor Who from 1965. First up is “The Slave Traders”, episode 1 of “The Romans”, where the TARDIS crew decides to relax"
"The Incomparable";"286";2016-02-06;"2016";"February";"Saturday";80.8666666666667;"No One in a Powdered Wig is Scrappy";"Jason Snell";"Serenity Caldwell, Monty Ashley, David J. Loehr, Chip Sudderth";"Music";"“Hamilton”, the musical";"It’s taking the culture by storm, the biggest Broadway musical in years—and it’s about… the first U.S. secretary of the treasury, Alexander Hamilton? It seems unlikely, but nothing about the “Hamilton” story is likely. Lin-Manuel Miranda took the biography of a lesser-known early American figure and turned it into a story full of catchy songs and social commentary, including the rapid-fire hip-hop lyrics and the casting of non-white actors in most of the parts. Four of our “Hamilton”-mad panelists discuss the appeal of the show and why it works so incredibly well.

(This we’ve also launched an entire podcast devoted to “Hamilton”, so if you want to hear various panels discuss the show song by song, you may want to subscribe to that, too.)

Piano intro and outro music from Hamilton played by Christopher Breen"
"TV Talk Machine";"69";2016-02-06;"2016";"February";"Saturday";54.5166666666667;"The 13-Year-Old Edition";"Tim Goodman, Jason Snell";NA;"Not provided";"Lots of HBO, and your letters";"This week Tim provides an important lesson about comedy callbacks, the TVTM break room is explored for the first time ever, we discuss HBO programming and the Super Bowl, and of course there’s plenty of time for your letters"
"TeeVee";"138";2016-02-05;"2016";"February";"Friday";56.5666666666667;"Arrow S4E12 Review: “Unchained”";"Dan Moren";"Guy English, John Moltz";"Shows";"Arrow Season 4, Episode 12";"This episode is more overstuffed than the biggest Thanksgiving leftover sandwich you can imagine, and if you were hoping we could take that metaphor a little further, well, tune in. We also discuss Arrow’s technology Z team, the latest in League of Assassin motivations, and the desperate need for a Team Arrow Slack channel.



To subscribe to all our Arrow-related content, check out this feed: http://feeds.theincomparable.com/arrow"
"Random Trek";"85";2016-02-05;"2016";"February";"Friday";44.6833333333333;"“One” (VOY) with Jim Metzendorf";"Scott McNulty";"Jim Metzendorf";"Not provided";"“One”";"Jim Metzendorf, author of “The Professional’s Guide to Audio Podcast Production” and editor of Random Trek, joins Scott to discuss VOY’s One (S4E25). How weird it is to talk to Scott, watching Star Trek: TNG a week early thanks to a sweet satellite dish, and the logistics of stasis tubes, and Riker’s beard are all discussed on this week’s episode.

Next on Random Trek TNG’s Time’s Arrow (Parts 1 & 2) (S5E26 and S6E1"
"Pod4Ham";"1";2016-02-04;"2016";"February";"Thursday";32.6666666666667;"Just You Wait";"Chip Sudderth";"Lex Friedman";"Not provided";"“Alexander Hamilton”";"The start of it all. How does a bastard, orphan, son of a whore and a Scotsman end up as the ten-dollar founding father?

Don’t forget to follow us on Twitter, and subscribe on iTunes or via RSS"
"TeeVee";"137";2016-02-03;"2016";"February";"Wednesday";57.2833333333333;"Legends of Tomorrow S1E2 review: “Pilot, part 2”";"Lisa Schmeiser";"Dan Moren";"Not provided";"Legends of Tomorrow S1E2";"Our all-star group of TeeVee panelists breaks down the second part of the “Legends of Tomorrow” pilot. A predicted death occurs! A Cheech & Chong movie almost breaks out! And what is Rip Hunter doing off-screen"
"Game Show";"29";2016-02-03;"2016";"February";"Wednesday";47.2166666666667;"Inconceivable!: Laser Cars are Really Sweet";"Dan Moren, Lex Friedman";"Katrina Griffiths, Mikah Sargent, Erika Ensign, Antony Johnston, Shannon Sudderth, Monty Ashley";"Not provided";"Inconceivable! Episode 8";"Welcome back to “Inconceivable!”, the show that tests two teams’ knowledge of the nerdy, the useless, and the obscure. 

In our long-awaited return, our all-star panel tries to identify fake fantasy lands, mashes up robots (or not), and tries their best to turn acronyms into real words. Joining host Dan Moren and scorekeeper Lex Friedman are Kat Griffiths (Verity!), Mikah Sargent (Cartoon Cast), Erika Ensign (Lazy Doctor Who), Antony Johnston (Unjustly Maligned), Shannon Sudderth (The Audio Guide to Babylon 5), and Monty Ashley (Game of Thrones Flashcast"
"Defocused";"82";2016-02-03;"2016";"February";"Wednesday";130.583333333333;"Fear Factor Frontier";"Joe Rosensteel, Dan Sturm";NA;"Not provided";"The Revenant";"Crawl with us on the forrest floor as we discuss The Revenant (2015).


Defocused 37: I Can Have My Feelings (Birdman)
Leonardo DiCaprio gets asked about the bear
Director Alejandro Iñárritu discusses the filming of a scene.
Justin Chang’s Review of The Revenant for Variety"
"Cartoon Cast";"6";2016-02-02;"2016";"February";"Tuesday";71.05;"Very Official Fart Meetings";"Christina Warren, Mikah Sargent";NA;"Not provided";"Spencer Rothbell, Fart Negotiator (and voice of Clarence)";"It’s a dream come true! Christina and Mikah have a laughter- and impression-filled chat with Spencer Rothbell, the head of story and voice of Clarence on Cartoon Network.

No, seriously"
"Robot or Not";"43";2016-02-01;"2016";"February";"Monday";5.7;"Daleks and Cybermen";"John Siracusa, Jason Snell";NA;"Not provided";"Doctor Who monsters";"Two enemies wrapped in metal shells from “Doctor Who” face their ultimate foe—the judgment of John Siracusa"
"Unjustly Maligned";"46";2016-02-01;"2016";"February";"Monday";61.45;"“Lady in the Water” with Dan Moren";"Antony Johnston";"Dan Moren";"Movies";"“Lady in the Water”";"Few directors divide opinion so much as M Night Shyamalan, but writer Dan Moren dives in headfirst to attempt a rescue of his fairy-tale movie “Lady in the Water"
"Lazy Doctor Who";"29";2016-02-01;"2016";"February";"Monday";15.1833333333333;"The Rescue 1-2";"Erika Ensign, Steven Schapansky";NA;"Not provided";"L (1-2)";"Steven and Erika take their Doctor Who viewing into 1965 with Vicki’s first story. A two-parter means getting through a whole story in one night, which is always fun"
"TeeVee";"136";2016-01-31;"2016";"January";"Sunday";39.3;"Arrow S4E11 Review: “A.W.O.L.”";"Dan Moren";"John Moltz, Guy English";"Shows";"Arrow Season 4, Episode 11";"Nothing better than a Diggle-centric episode, ‘cause a Diggle-centric episode got plenty of Diggle. In this case, two Diggles (but no Biff). This week we discuss the legacy of Amanda Waller, relatively smart villains of the week, and prescription drug hallucinations. 



To subscribe to all our Arrow-related content, check out this feed: http://feeds.theincomparable.com/arrow"
"Afoot!";"4";2016-01-31;"2016";"January";"Sunday";41.85;"Heaping Helping of Holmes, Part 1";"Glenn Fleishman";"David J. Loehr, Monty Ashley, Shannon Sudderth";"Not provided";"Sherlock Holmes";"Sherlock Holmes is the most portrayed, parodied, adapted, and extended detective in the history of the genre. In this episode (part 1 of 2), Afoot panelists discuss their favorite Holmes’ depictions and extensions. This time: Jeremy Brett, Sherlock (BBC), an episode of Magnum, P.I., the movie They Might Be Giants, Elementary (US TV), and The Great Mouse Detective"
"Lazy Doctor Who";"28";2016-01-31;"2016";"January";"Sunday";35.8833333333333;"The Dalek Invasion of Earth 2-6";"Erika Ensign, Steven Schapansky";NA;"Not provided";"K (2-6)";"Erika and Steven continue (and complete!) Doctor Who’s second Dalek serial, from 1964"
"The Incomparable";"285";2016-01-30;"2016";"January";"Saturday";69.4666666666667;"The Answer is One Elephant";"Jason Snell";"Lisa Schmeiser, Shannon Sudderth, Aleen Simms, Tony Sindelar";"Comics";"Ms. Marvel";"In this edition of Comic Book Club, we discuss one of Marvel’s newest heroes, Kamala Khan, the star of G. Willow Wilson and Adrian Alphona’s “Ms. Marvel.” She’s a Muslim from New Jersey, so in some ways she’s a very different kind of Marvel super hero, but she’s also a tortured teen trying to come to terms with her identity—so in other ways, she’s very much the model of a Marvel super hero. Plus: What are we reading"
"TeeVee";"135";2016-01-30;"2016";"January";"Saturday";74.7;"The Expanse: S1E5-8 review";"Jason Snell";"Erika Ensign";"Not provided";"The Expanse season 1, episodes 5-8";"We’re back with a review of episodes 5-8 of “The Expanse,” leading up to the two-hour finale. From Earth to Ceres to the Rocinante, we’ve got our take on the misadventures of Holden and crew, Miller’s laconic interactions with Jared Harris and the rest of his space mob, and Avasarala’s snowy conversation with one of Holden’s parents. Plus, is the blue goo at the heart of the series realized effectively"
"TV Talk Machine";"68";2016-01-30;"2016";"January";"Saturday";73.0333333333333;"The Punch-Drunk Edition";"Tim Goodman, Jason Snell";NA;"Not provided";"New fantasy series and revival TV";"This week Tim and Jason talk about a slew of new series, including fantasy-themed “You, Me and the Apocalypse,” “11.22.63,” and “The Magicians.” Plus, we discuss the new trend toward TV revivals, Tim previews his review of “Vinyl,” and we answer your letters"
"TeeVee";"134";2016-01-29;"2016";"January";"Friday";35;"The Flash S2E11 review: “Reverse Flash Returns”";"Tony Sindelar";"Philip Mozolak";"Shows";"The Flash Season 2, Episode 11";"The man in the yellow suit makes his return to Central City, but how is Eobard Thawne even alive after being wiped from history?! Tony and Moze try to unravel a thick yellow thread"
"Random Trek";"84";2016-01-29;"2016";"January";"Friday";44.9333333333333;"“The Wire” (DS9) with Sabriel Mastin";"Scott McNulty";"Sabriel Mastin";"Not provided";"“The Wire”";"Sabriel Mastin, freelance writer and games critic joins Scott to discuss DS9’s The Wire (S2E22). This is a Garak focused episode, so how could it be anything other than good? Topics include: do we learn anything about Garak in this episode? Do you need to watch every episode after this episode to truly appreciate it? Why does Bashir annoy Scott so much? And more!

Next on Random Trek VOY’s One (S4E25"
"Total Party Kill";"71";2016-01-27;"2016";"January";"Wednesday";71.1166666666667;"Strumming His Piccolo";"Scott McNulty";"Erika Ensign, Steve Lutz, Georgia Dow, Tony Sindelar, Dan Moren, Jason Snell";"Not provided";"Eglath’s Angels, Part 25";"Freshly out of their pit, our heroes regroup and journey back out into the desert to find the source of the shaquat beetles at Fort Melidor. Also, we learn what a group of cacti is called, and discover some strange things about elven musical instruments.

(This episode was initially released with the last 30 minutes of audio translated into Thri’Kreen. We’ve re-released it with the last 30 minutes in English, for our human listeners"
"Robot or Not";"42";2016-01-25;"2016";"January";"Monday";2.45;"Prince Robot IV";"John Siracusa, Jason Snell";NA;"Not provided";"“Saga”";"It’s right there in the name of this character from the acclaimed comic book “Saga,” but as we’ve learned, names can be misleading"
"Defocused";"81";2016-01-25;"2016";"January";"Monday";89.95;"Red Dirt and Expectations";"Joe Rosensteel, Dan Sturm";NA;"Movies";"The Martian (2015 film) & Mad Max: Fury Road";"Two very dirty movies"
"The Incomparable";"284";2016-01-24;"2016";"January";"Sunday";85.8666666666667;"She Scullys Herself";"Jason Snell";"Erika Ensign, John Siracusa, David J. Loehr";"Shows";"The X-Files";"Just as “The X-Files” is revived for a limited-run miniseries, we take time to look back at this classic TV series from the 90s. (With gorgeous new HDTV versions available on Netflix!) We discuss some classic episodes, the dynamic between Scully and Mulder that really made the show work, and a whole lot more. The truth is in here—you just have to want to believe"
"TeeVee";"133";2016-01-23;"2016";"January";"Saturday";43.8666666666667;"Legends of Tomorrow S1E1 review: “Pilot, part 1”";"Lisa Schmeiser";"Jason Snell";"Not provided";"Legends of Tomorrow season 1 episode 1";"What happens when a group of superheroes finally get together? This all-star podcast, of course. We discuss Rip Hunter, Dr. Stein’s roofie, and Captain and Tenille on this premiere edition of this legendary podcast"
"TeeVee";"132";2016-01-23;"2016";"January";"Saturday";37.0666666666667;"The Flash S2E10 review: “Potential Energy”";"Lisa Schmeiser";"Philip Mozolak, Tony Sindelar";"Not provided";"The Flash Season 2, Episode 10";"Break time is over, and it’s time to get back to work! Now that they’ve grown closer, Barry considers telling Patty that he is The Flash. Meanwhile, Joe and Iris try to get to know Wally, and the team hunts down a meta-human who can slow time itself. Get your CSI University application together and then join us"
"TV Talk Machine";"67";2016-01-23;"2016";"January";"Saturday";58.35;"Dinosaur Ship";"Tim Goodman, Jason Snell";NA;"Not provided";"TCA Winter Press Tour redux";"Tim returns from Pasadena to talk about the plight of broadcast network executives, NBC’s strange choice of press tour topics, and reviews of a bunch of new shows"
"TeeVee";"131";2016-01-22;"2016";"January";"Friday";47.9666666666667;"Arrow S4E10 Review: “Blood Debt”";"Dan Moren";"Guy English, John Moltz";"Shows";"Arrow Season 4, Episode 10";"Thanks to their bulletproof limousine, the Speedy Arrowcast crew is back with the midseason premiere. This week we discuss boneheaded superhero plans, going off the rails, and of course an update to our perennial favorite: “Who’s in the Box?!”



To subscribe to all our Arrow-related content, check out this feed: http://feeds.theincomparable.com/arrow"
"Random Trek";"83";2016-01-22;"2016";"January";"Friday";45.7166666666667;"“Elogium” (VOY) with Rachel Donner";"Scott McNulty";"Rachel Donner";"Not provided";"“Elogium”";"Rachel Donner, podcaster and hockey enthusiast, joins Scott to discuss Voyager’s Elogium (S2E4). Procreation. That’s the theme of this episode and it revolves around Neelix and Kes. Yuck. That’s right, some space aliens make Kes enter her species’ mating phase and it is now or never if she wants to have a baby. Neelix is awful.

Next on Random Trek DS9’s The Wire (S2E4"
"Game Show";"28";2016-01-20;"2016";"January";"Wednesday";52.8166666666667;"Game Night: Dental Dam";"Jason Snell";"Mikah Sargent, Aleen Simms, Erika Ensign, Steve Lutz, Glenn Fleishman";"Not provided";"Game of Matching ‘16";"In this edition of Game Night, we play a game called The Game of Matching that is totally not at all like a celebrity panel show from the 1970s. Also, Glenn does poetry"
"Defocused";"80";2016-01-20;"2016";"January";"Wednesday";106.1;"Peak Pleather";"Joe Rosensteel, Dan Sturm";NA;"Movies";"Swordfish";"How do you put your worm in your pleather pants"
