"podcast","number","date","year","month","weekday","duration","host","title","summary","category","topic","guests"
"17","The Incomparable","84",2012-03-25,"2012","March","Sunday",93.1,"Jason Snell","Wind is the Enemy","Please join us for Jason and John’s survey of the films of director Hayao Miyazaki. Even if you don’t have kids, like animation, or care about Japan, we think these are some of the greatest films ever made. From “My Neighbor Totoro” and “Kiki’s Delivery Service” to “Spirited Away” and “Nausicaa,” we cover the highlights (and oddities) of his filmmaking career.","Movies","The films of Hayao Miyazaki","John Siracusa"
"18","The Incomparable","83",2012-03-17,"2012","March","Saturday",71.4666666666667,"Jason Snell","Nothing Ever Ends on Taco Tuesday","Who Watches the Watchmen? We discuss Alan Moore and Dave Gibbons’s classic comic “Watchmen.” What made it remarkable and influential? Is it too stuck in an ’80s sensibility? Did the movie ruin everything? And will the recently-announced prequels stink?","Not provided","Watchmen","Lisa Schmeiser, Ben Boychuk, Steve Lutz, Tony Sindelar"
"19","The Incomparable","82",2012-03-10,"2012","March","Saturday",71.2666666666667,"Jason Snell","Apocalypse Book Club","It’s the end of the world! And since our eyeglasses are intact, we have time enough at last, to read. We discuss Maureen McHugh’s “After the Apocalypse” short-story collection, Cormac McCarthy’s “The Road,” and other apocalypse tales we have known. Do zombies have their own David Attenborough, leading expeditions into Cleveland? Why should you be afraid if heavy snowfall combines with the appearance of strange invisible magic ghost sex-dragon monsters? And why does John Siracusa plan to ride out the apocalypse in style? We ask several of these questions, but you’ll have to listen to see if we ever answer any of them.","Not provided","Not provided","John Siracusa, Lisa Schmeiser, Scott McNulty"
"20","The Incomparable","81",2012-03-05,"2012","March","Monday",53.7333333333333,"Jason Snell","McRibs and Bacon Martinis","We close the books on the first Incomparable Film Festival with this special follow-up episode. We provide the show times for each day of the festival, share your feedback, and reveal the results of your vote for the best slate of films. We also check in with two panelists who couldn’t make the original draft, one of whom has a bone to pick with John Siracusa. The other one instead tells a heartwarming tale of projectile vomiting. (Part 3 of 2.)","Not provided","Not provided","Dan Moren, Greg Knauss, Lex Friedman, Scott McNulty, Serenity Caldwell, Steve Lutz"
"21","The Incomparable","80",2012-02-25,"2012","February","Saturday",57.3166666666667,"Jason Snell","Khan Film Festival","Continuing our assembly of the Incomparable Film Festival! We fill out our list of 35 classic films for imaginary display to imaginary crowds. Find out our final 21 (or is it 22?) choices! Then vote for your favorites. (Part 2 of 2.)","Not provided","Not provided","Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz"
"22","The Incomparable","8",2010-10-17,"2010","October","Sunday",64,"Jason Snell","Top Men","“Raiders of the Lost Ark,” and why it’s so great. Also, “Star Wars” comes up a few times.","Movies","Indiana Jones and Raiders of the Lost Ark","John Gruber, Dan Moren"
"23","The Incomparable","79",2012-02-19,"2012","February","Sunday",65.9333333333333,"Jason Snell","Everything Sounds Beautiful in German","We’re creating the Incomparable Film Festival! Each day for a week, one of us will introduce five films (to be screened at an imaginary location not to be determined). To prevent duplication of selections, our seven participants will choose favorite films in a draft format. When all is said and done, 35 classic movies will be chosen by our panel of geeks. (Part 1 of 2.)","Not provided","Not provided","Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz"
"24","The Incomparable","78",2012-02-11,"2012","February","Saturday",58.3666666666667,"Jason Snell","Clones and Telepaths vs. Love","Our Comic Book Club gets in a romantic mood with a discussion of comic-book romances—the (very) few that have stood the test of time and the (very) many that have been thwarted by clones, telepaths, cloned telepaths, and—worst of all—Satan’s Annulment. Also, what are we reading?","Not provided","Not provided","Lisa Schmeiser"
"25","The Incomparable","77",2012-02-05,"2012","February","Sunday",72.6666666666667,"Jason Snell","Women’s Libber","Step through your time portal, buy some cheap 1950s hamburger, and prepare for our discussion of Stephen King’s new novel 11/22/63. How does a 21st century man react to the racism and sexism of the south in the mid-20th century? Would the world have been a better place if Kennedy hadn’t been assassinated? Is Canada really eyeing the state of Maine anxiously? Like the book, we have some—but not all—of the answers.","Not provided","Not provided","Dan Moren, John Siracusa, Lisa Schmeiser, Serenity Caldwell"
"26","The Incomparable","76",2012-01-29,"2012","January","Sunday",45.4666666666667,"Jason Snell","Robert Redford’s Foot","Live from the Macworld |iWorld Live Stage, it’s a discussion of our favorite (and least favorite) uses of technology in movies, TV shows, books, and more.","Not provided","Not provided","Dan Moren, Glenn Fleishman, Serenity Caldwell"
"27","The Incomparable","75",2012-01-21,"2012","January","Saturday",59.4833333333333,"Jason Snell","My Gazebox is Full of Menhirs","Go north, get lamp, and check your inventory, as guest host Greg Knauss takes you on a journey into the world of interactive fiction, also known as “text adventures.” Did families in the ’80s really sit around the Apple II playing “Mystery House?” Will saving a game really erase your floppy disc? Listen if you dare, but watch out for grues!","Not provided","Not provided","Greg Knauss, Monty Ashley, Steve Lutz"
"28","The Incomparable","74",2012-01-16,"2012","January","Monday",60.8166666666667,"Jason Snell","I’m Definitely Not a Girl","It’s fun for the whole family, as we discuss some of our favorite movies for kids (and their parents). Did we really recommend an animated movie from Dreamworks? And a movie with Melanie Griffith? And a German fantasy film? Well, yes, but you’ll have to listen to find out which ones.","Not provided","Not provided","John Siracusa, Lex Friedman"
"29","The Incomparable","73",2012-01-08,"2012","January","Sunday",64.0333333333333,"Jason Snell","Ugh - A 2011 Clip Show","We bid farewell to 2011 by listing the favorite things we inhaled into our brains during the past year. We also recall our favorite podcast moments, read a whole bunch of listener comments, and more. (Although this is a clip show, two-thirds of the running time is actually original material!)","Not provided","Not provided","Dan Moren, Scott McNulty, Serenity Caldwell, Steve Lutz"
"30","The Incomparable","72",2011-12-26,"2011","December","Monday",40.5,"Jason Snell","The Screams of Trees","All hail the power of motherhood! We discuss this year’s “Doctor Who” Christmas special, “The Doctor, the Widow, and the Wardrobe.” Plus, why Christmas episodes make us feel warm inside, and the amazing scanner-blocking powers of wool!","Shows","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"31","The Incomparable","71",2011-12-18,"2011","December","Sunday",70.4666666666667,"Jason Snell","The Holiday Movie Vault","Grab some eggnog and hitch up your reindeer! It’s time to put six holiday films in the Incomparable Film Vault! We discuss some beloved classics and offer a few surprise choices that redefine what “holiday” and “film” actually mean. What is a realistic depiction of Santa? Is Bill Murray’s best Scrooge not actually in “Scrooged”? Has Clarence the angel left a trail of dead bodies behind him? Is Kris Kringle the original Apple Genius? Happy holidays, everyone!","Shows","Favorite holiday movies and TV","Andy Ihnatko, Dan Frakes, Glenn Fleishman, Serenity Caldwell, Steve Lutz"
"32","The Incomparable","70",2011-12-10,"2011","December","Saturday",70.95,"Glenn Fleishman","At the Time, They Were Just Average Height","It turns out we all like They Might Be Giants! So we did an entire episode about geeky music. We pick favorite TMBG songs, and then bring up some other geeky tracks we love by Fountains of Wayne, Moxy FrÃ¼vous, and “Weird Al” Yankovic.","Music","They Might Be Giants.","Lex Friedman, Scott McNulty, Jason Snell"
"33","The Incomparable","7",2010-10-10,"2010","October","Sunday",55.7166666666667,"Jason Snell","Law & Order: Atlantis","Dissecting the fall TV season, including “The Event,” “No Ordinary Family,” and the promising third season of “Fringe.” Plus other sci-fi shows we have loved and hated, why trying to ape “Lost” is a bad idea, and Dan suggests a new “Law & Order” spinoff.","Shows","Fall 2010 TV Season","Dan Moren, John Siracusa, Serenity Caldwell"
"34","The Incomparable","69",2011-12-05,"2011","December","Monday",75.5166666666667,"Jason Snell","Love Conquers All, But So Do Guns","Break out your gaming laptop and pass the ammunition: It’s time to discuss Neal Stephenson’s “REAMDE.” Why does the book’s plot take a hard left turn halfway through? Why does Stephenson struggle to write endings—and does he succeed this time? Is this book about family, the victory of the outsider, or blowing things up? (Can’t it be all three?)","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"35","The Incomparable","68",2011-11-25,"2011","November","Friday",87.15,"Jason Snell","Jedi Weekend","Gather some bounty hunters and warm up the carbon freezer! It’s time for the conclusion of our epic discussion of “The Empire Strikes Back.” We dissect the evolution of the Han-Leia relationship, the truly playful nature of Yoda and the importance of Dagobah, Vader’s agenda and his crunchy gloves, and Luke’s continuing adventures with garbage.","Not provided","“The Empire Strikes Back” (part 2)","Dan Moren, John Siracusa, Serenity Caldwell"
"36","The Incomparable","67",2011-11-20,"2011","November","Sunday",84.9,"Jason Snell","Darth Vader’s Office is Really Weird","Launch your probe droids and cut open your tauntaun! It’s time for part one of our two-part discussion of “The Empire Strikes Back.” Does Han Solo just want to be loved? Is Chewie sabotaging the Falcon on purpose? Why is snowy Hoth the setting? Why is Ben Kenobi a man of few words? Who’s scruffy-lookin’? And what is the purpose for Darth Vader’s clamshell office, anyway?","Not provided","Not provided","Dan Moren, John Siracusa, Serenity Caldwell"
"37","The Incomparable","66",2011-11-14,"2011","November","Monday",60,"Jason Snell","Regular People Like Us","Ernest Cline’s “Ready Player One” is a sci-fi novel that’s chock full of references to 1980s culture. But is it a good book, or are the references all that it’s got going for it? What will John Hughes movies be like in the future? And what do Cline, P.G. Wodehouse, and Umberto Eco have in common?","Books","“Ready Player One”","Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell, Monty Ashley"
"38","The Incomparable","65",2011-11-06,"2011","November","Sunday",80.7666666666667,"Jason Snell","Maine is Purgatory","A new TV season is here! We analyze the new shows, plus some returning favorites. Among our targets: Revenge, Homeland, Terra Nova, Once Upon a Time, Grimm, Person of Interest, American Horror Story, Ringer, A Gifted Man, Boss, and returning shows The Walking Dead, Fringe, Community, Supernatural, Haven, and Dexter. Also: Why does Scott McNulty think every show is Prime Suspect?","Not provided","Not provided","Dan Moren, Lisa Schmeiser, Scott McNulty, John Siracusa, Ben Boychuk"
"39","The Incomparable","64",2011-10-30,"2011","October","Sunday",82.8166666666667,"Jason Snell","Ghosts Cause Cancer","When you want to get in the Halloween spirit, who you gonna call? Join us in celebrating 1984’s supernatural comedy classic, “Ghostbusters.” Are ghosts a serious environmental hazard requiring the intervention of the EPA? Why do the Ghostbusters transform from college professors into blue-collar plumbers when they put on their jump suits? Is Roasted Terror Dog with Human Nougat the worst candy ever devised? And which one of our panelists attended a cat-themed bat mitzvah in the same ballroom destroyed by the Ghostbusters?","Not provided","Not provided","Dan Moren, Serenity Caldwell, Ben Boychuk"
"40","The Incomparable","63",2011-10-27,"2011","October","Thursday",48.8833333333333,"Jason Snell","Like a Good Book Exploded","Is Patrick Rothfuss’s “The Wise Man’s Fear” a rich fantasy novel about storytelling and myth-making, or is it a collection of good story elements scattered across an overlong plot? Could it be both? Ninjas! Off-camera shipwrecks! Board games! Sexism! Off-camera courtroom drama! Discursions within digressions within framing sequences! Join us as we discuss yet another 1000-page fantasy novel, the sequel to “The Name of the Wind.”","Books","“The Wise Man’s Fear”","Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell"
"41","The Incomparable","62",2011-10-23,"2011","October","Sunday",43.1333333333333,"Jason Snell","The Pig is Chekhov’s Gun","We discuss “A Dance With Dragons,” the latest 1000-page installment in George R.R. Martin’s bestselling “Song of Ice and Fire” fantasy series. Is this series going to end well? Which parts of this book were good, and which just treaded water? Would adding Klingons have helped? Why are trees the Westeros equivalent of security cameras? These are the sorts of questions you ask deep in the middle of a long fantasy series.","Books","“A Dance With Dragons”","Dan Moren, Scott McNulty, Serenity Caldwell"
"42","The Incomparable","61",2011-10-15,"2011","October","Saturday",60.1166666666667,"Jason Snell","Number Ones","Our Comic Book Club tackles the topic of #1 issues, especially those in DC’s recent relaunch. We recommend some books and talk about some of our favorite Number Ones. Also we touch on a few of the controversial #1 DC issues and question whether DC is really trying to reach a new audience or just pander to the old one.","Not provided","Not provided","Dan Benjamin, Faith Korpi, Lisa Schmeiser"
"43","The Incomparable","60",2011-10-08,"2011","October","Saturday",66.3166666666667,"Jason Snell","Thanks For Everything… Now Go Die","Why do secret agents wear make-up under their eyepatches? When do text messages not properly convey thanks for saving the universe? Are the Cybermen the worst villians ever? We wrap up the sixth season of “Doctor Who” with discussion of the last three episodes as well as the season as a whole.","Shows","Not provided","Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell"
"44","The Incomparable","6",2010-09-27,"2010","September","Monday",61.6666666666667,"Jason Snell","Go Ahead, Lisa, Destroy My Childhood","Comic Book Club returns! This week we talk about TV adaptations of comic books, TV shows inspired by comic books, comic books that would make good TV shows, and more. Plus, random discussion of X-Men Annuals, the Micronauts, and why Reed Richards is a douche (in X-Men Annual #5, anyway).","Comics","TV Adaptations of Comic Books","Lisa Schmeiser, Jason Brightman"
"45","The Incomparable","59",2011-10-03,"2011","October","Monday",81.5333333333333,"Jason Snell","Flitting is in (TV Fantasy Pitches)","We conclude our TV Fantasy Draft with the unveiling of our series pitches. Vampire and ghost detectives! Star Trek meets the West Wing! A sitcom starring a robot and an omnipotent being! A gritty techno-drama. A psychedelic drama set on a Zeppelin! And John Siracusa’s pitch seems awfully familiar somehow.","Not provided","Not provided","Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz"
"46","The Incomparable","58",2011-09-24,"2011","September","Saturday",74.25,"Jason Snell","Greyskull Anonymous (TV Fantasy Draft)","Who are the best TV characters of all time? Six people set out to draft teams of 10 characters each, from which they would form some of the strangest TV ensembles ever seen. Will Captain Kirk, Columbo, and The Fonz end up on the same show? Perhaps the craziest episode we’ve ever done highlights dozens of our favorite characters from TV history.","Not provided","Not provided","Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell, Steve Lutz"
"47","The Incomparable","57",2011-09-18,"2011","September","Sunday",61.4666666666667,"Jason Snell","Weird Subplots About Fondue","This past summer’s superhero movies are in the spotlight! Are the gods just aliens? When are mutant strippers unrealistic? Why would you beat up people after costing them their jobs? And why do the Stark boys enjoy themselves—and cheesy foodstuffs—so much? Our esteemed panel breaks down how “Captain America,” “Thor,” “X-Men: First Class,” and “Green Lantern” fared.","Not provided","Not provided","Dan Moren, Monty Ashley, Tony Sindelar"
"48","The Incomparable","56",2011-09-12,"2011","September","Monday",58.1833333333333,"Jason Snell","Let Me in the Frickin’ TARDIS!","Press the Green Anchor and jump into a parallel timestream: it’s time to talk “Doctor Who.” In this flash episode we deconstruct the two most recent episodes, “Night Terrors” and “The Girl Who Waited.” And here’s a hint: we liked one of them way more than the other.","Not provided","Not provided","Dan Moren, John Siracusa, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"49","The Incomparable","55",2011-09-05,"2011","September","Monday",61.1666666666667,"Jason Snell","If a Show Never Airs, Can It Be Cancelled?","This podcast is cancelled! We discuss TV shows that failed to reach their proper natural lifespan. When all is said and done, you’ll hear recommendations for 25 excellent series that burned bright and weren’t allowed to fade away. Fantasy football drafts were never this good.","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"50","The Incomparable","54",2011-08-30,"2011","August","Tuesday",65.7166666666667,"Jason Snell","Put on this Mask and Strut for Mama","Strap on your jet pack and locate your pet monkey! Our Comic Book Club reconvenes to discuss works by writer Brian K. Vaughan, who excels at the high-concept premise. In the spotlight: “Runaways,” “Y: The Last Man,” and “Ex Machina.” With plenty of digressions along the way, about feminism, parenting, sexism, and (once again) how hard it is to write an ending.","Not provided","Not provided","Lisa Schmeiser"
"51","The Incomparable","53",2011-08-29,"2011","August","Monday",42.5,"Jason Snell","Let’s Quilt Hitler","Flash podcast! A largely unedited Skype conversation after this weekend’s “Doctor Who” midseason premiere, “Let’s Kill Hitler.”","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty, Serenity Caldwell"
"52","The Incomparable","52",2011-08-22,"2011","August","Monday",59.4166666666667,"Jason Snell","A Cthuluesque Vomiting of Ideas","Rip off your hearing limbs and join us for the first anniversary edition of The Incomparable. As with the first podcast, the Book Club discusses a China MiÃ©ville novel: in this case, “Embassytown.” Also: What are we reading? Glenn is reading a comic book. We are disappointed.","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty"
"53","The Incomparable","51",2011-08-15,"2011","August","Monday",66.2166666666667,"Jason Snell","Zombie Marmaduke (Hugo Awards 2011)","We read the 2011 Hugo nominees for Best Novel. Sit back and enjoy our reviews of “Blackout/All Clear,” “Cryoburn,” “The Dervish House,” “Feed,” and “The Hundred Thousand Kingdoms.” Plus, we recommend a few of the nominated short stories.","Not provided","Not provided","Dan Moren, Glenn Fleishman, Scott McNulty"
"54","The Incomparable","50",2011-08-08,"2011","August","Monday",50.6333333333333,"Jason Snell","We Apologize for the Extinction of the Clownfish","Talking “Finding Nemo,” “Toy Story 2,” and “Wall-E.” Plus, we discuss what Pixar should do next to challenge itself, try to understand why “Cars 2” was made, and pick out our least favorite thing Pixar has ever done. Hint: Jason has a problem with rats. (Part 2 of 2.)","Movies","The films of Pixar (part 2)","John Siracusa, Steve Lutz"
"55","The Incomparable","5",2010-09-20,"2010","September","Monday",57.4833333333333,"Jason Snell","Shakespeare is a Hack!","Our Book Club reconvenes, to discuss Nick Harkaway, Cherie Priest, William Gibson, favorite prose stylists (Shakespeare? Please!), and multiple Shatners. Also in this episode, we introduce listeners to two new inanimate-yet-Incomparable characters: the Spoiler Horn and its good friend, the All-Clear Bell.","Books","Nick Harkaway, Cherie Priest, William Gibson","Dan Moren, Scott McNulty, Serenity Caldwell"
"56","The Incomparable","49",2011-08-01,"2011","August","Monday",59.05,"Jason Snell","It’s Like “Working Girl” With Monsters","Old men with balloons! Wisecracking monsters! Superheroes with mid-life crises! The films of Pixar are in our sights this week. Join us as we pick our favorite films and explore why Pixar’s movies are better than those from other animation studios. (Part 1 of 2.)","Movies","The films of Pixar (part 1)","John Siracusa, Steve Lutz"
"57","The Incomparable","48",2011-07-11,"2011","July","Monday",72.2833333333333,"Jason Snell","Can I Get Some Extra Dragons on That, Please?","From the Wall in the north (behind which lurk the fearsome White Walkers) to across the Narrow Sea (which is sort of dull), the first season of HBO’s “Game of Thrones” has everything the George R. R. Martin book has, with perhaps more attractive naked people having sex in front of you.  Also: Uncomfortable chairs.","Shows","Not provided","Dan Moren, John Siracusa, Scott McNulty, Serenity Caldwell, Monty Ashley"
"58","The Incomparable","47",2011-07-01,"2011","July","Friday",64.7,"Jason Snell","Death Star University","Continuing our discussion of “Star Wars,” the original film. We praise the jump to hyperspace, explain why TIE fighter pilots wear black, ponder how Han and Leia somehow turn up in an Aaron Sorkin scene, reveal why there is no Space OSHA, comment on Ben Kenobi’s old man slippers and incomparable pseudonym, and expose the rebellion so rich it can have its own university and mint its own medals. (Part 2 of 2.)","Movies","“Star Wars” (part 2)","Dan Moren, John Siracusa, Scott McNulty, Greg Knauss"
"59","The Incomparable","46",2011-06-25,"2011","June","Saturday",59.3666666666667,"Jason Snell","I Like My Coffee Like My Evil Sith Lords","“Star Wars,” the original film, is finally in our crosshairs, and if we can bulls-eye a Womp Rat we can take on this classic sci-fi film. We talk about our first memories of Star Wars, pretend the prequels didn’t happen, give Cantina drink-ordering tips, and marvel at Darth Vader’s coffee-drinking habits. (Part 1 of 2.)","Movies","“Star Wars” (part 1 of 2)","Dan Moren, John Siracusa, Scott McNulty, Greg Knauss"
"60","The Incomparable","45",2011-06-19,"2011","June","Sunday",64.5,"Jason Snell","Lesbian, Silurian, Victorian","Pour yourself a White Mickey and listen to our discussion of the first half of “Doctor Who’s” split season. We discuss “The Rebel Flesh,” “A Good Man Goes to War,” and the season as a whole. Or half? We also debate the merits of Lesbian Victorian Silurians and Auton Roman Centurions.","Not provided","Not provided","Dan Moren, Glenn Fleishman, John Siracusa, Scott McNulty, Serenity Caldwell"
"61","The Incomparable","44",2011-06-12,"2011","June","Sunday",57.6,"Jason Snell","Emperor Aquaman","DC decides to stick a fork in continuity and reboot its universe. Publicity stunt, bold creative move, or both? Andy Ihnatko joins Lisa, Jason, and the good Jason to discuss this latest attempt to save the comics industry.","Comics","DC’s “New 52”","Andy Ihnatko, Jason Brightman"
